departamento,codigodanedepartamento,municipio,codigodanemunicipio,tipoarea,sitio,ano,mes,rangoedad,grupoetnico,condicion,estado,genero,latitudcabecera,longitudcabecera,tipoevento,Ubicación,Actividad
ANTIOQUIA,5,GRANADA,5313,Rural,Sin información,2006,1,Mayor de 18 años,no,Civil,Hombre,Herido,6.143703,-75.185183,Sin informacion,"(6.143703, -75.185183)","Pasando, estando cerca"
ANTIOQUIA,5,TARAZÁ,5790,Rural,Quebrada Iraca,2010,1,Mayor de 18 años,no,Fuerza pública,Hombre,Herido,7.372777777777777,-75.20444444444445,Sin informacion,"(7.372777777777777, -75.20444444444445)",Fuerza pública
ANTIOQUIA,5,VALDIVIA,5854,Rural,Sin información,2008,3,Mayor de 18 años,no,Civil,Hombre,Herido,7.165222,-75.438081,Sin informacion,"(7.165222, -75.438081)",Erradicador manual - PCI
ANTIOQUIA,5,VALDIVIA,5854,Rural,Sin información,2008,3,Mayor de 18 años,no,Civil,Hombre,Herido,7.165222,-75.438081,Sin informacion,"(7.165222, -75.438081)",Erradicador manual - PCI
ANTIOQUIA,5,VALDIVIA,5854,Urbana,Sin información,2009,4,Mayor de 18 años,no,Civil,Hombre,Herido,7.274352,-75.382426,Sin informacion,"(7.274352, -75.382426)",Erradicador manual - PCI
ANTIOQUIA,5,VALDIVIA,5854,Rural,Sin información,2008,3,Mayor de 18 años,no,Civil,Hombre,Herido,7.165222,-75.438081,Sin informacion,"(7.165222, -75.438081)",Erradicador manual - PCI
ANTIOQUIA,5,TARAZÁ,5790,Rural,Sin información,2009,7,Mayor de 18 años,no,Civil,Hombre,Herido,7.58831222222222,-75.4028944444444,Sin informacion,"(7.58831222222222, -75.4028944444444)",Erradicador manual - PCI
ANTIOQUIA,5,TARAZÁ,5790,Rural,Sin información,2009,7,Mayor de 18 años,no,Civil,Hombre,Herido,7.58831222222222,-75.4028944444444,Sin informacion,"(7.58831222222222, -75.4028944444444)",Erradicador manual - PCI
ANTIOQUIA,5,TARAZÁ,5790,Rural,Sin información,2009,7,Mayor de 18 años,no,Civil,Hombre,Herido,7.58831222222222,-75.4028944444444,Sin informacion,"(7.58831222222222, -75.4028944444444)",Erradicador manual - PCI
ANTIOQUIA,5,TARAZÁ,5790,Rural,Sin información,2009,7,Mayor de 18 años,no,Civil,Hombre,Herido,7.58831222222222,-75.4028944444444,Sin informacion,"(7.58831222222222, -75.4028944444444)",Erradicador manual - PCI
ANTIOQUIA,5,TARAZÁ,5790,Rural,Sin información,2009,7,Mayor de 18 años,no,Civil,Hombre,Herido,7.58831222222222,-75.4028944444444,Sin informacion,"(7.58831222222222, -75.4028944444444)",Erradicador manual - PCI
ANTIOQUIA,5,TARAZÁ,5790,Rural,Sin información,2009,7,Mayor de 18 años,no,Civil,Hombre,Herido,7.58831222222222,-75.4028944444444,Sin informacion,"(7.58831222222222, -75.4028944444444)",Erradicador manual - PCI
ANTIOQUIA,5,ITUANGO,5361,Rural,Vereda Los Monos,2010,1,Mayor de 18 años,no,Fuerza pública,Hombre,Herido,7.338888888888889,-75.80277777777778,Sin informacion,"(7.338888888888889, -75.80277777777778)",Fuerza pública
ANTIOQUIA,5,CÁCERES,5120,Rural,Cerro Blanco,2010,2,Mayor de 18 años,no,Fuerza pública,Hombre,Herido,7.390833333333333,-75.14972222222222,Caminos,"(7.390833333333333, -75.14972222222222)",Fuerza pública
ANTIOQUIA,5,SAN CARLOS,5649,Rural,Vereda Puerto Rico,2000,10,Mayor de 18 años,no,Civil,Hombre,Herido,6.187566,-74.993636,Sin informacion,"(6.187566, -74.993636)",Sin Información
ANTIOQUIA,5,APARTADÓ,5045,Rural,Corregimiento San Jose,2008,8,Mayor de 18 años,no,Fuerza pública,Hombre,Herido,7.904444444444445,-76.46194444444444,Sin informacion,"(7.904444444444445, -76.46194444444444)",Fuerza pública
ANTIOQUIA,5,APARTADÓ,5045,Rural,Corregimiento San Jose,2008,8,Mayor de 18 años,no,Fuerza pública,Hombre,Herido,7.904444444444445,-76.46194444444444,Sin informacion,"(7.904444444444445, -76.46194444444444)",Fuerza pública
ANTIOQUIA,5,SAN ANDRÉS,5647,Rural,Vereda El Peñol,2010,3,Mayor de 18 años,no,Fuerza pública,Hombre,Muerto,6.980833333333333,-75.62638888888888,Caminos,"(6.980833333333333, -75.62638888888888)",Fuerza pública
ANTIOQUIA,5,MEDELLÍN,5001,Rural,Vereda El Respaldo,2010,3,Mayor de 18 años,no,Fuerza pública,Hombre,Herido,6.229209,-75.564887,Sin informacion,"(6.229209, -75.564887)",Fuerza pública
ANTIOQUIA,5,GRANADA,5313,Rural,Vereda La Línda,2004,11,Mayor de 18 años,no,Fuerza pública,Hombre,Herido,6.111667,-75.095833,Sin informacion,"(6.111667, -75.095833)",Fuerza pública
ANTIOQUIA,5,SAN LUIS,5660,Rural,Quebrada Minarica,2008,10,Mayor de 18 años,no,Fuerza pública,Hombre,Herido,6.058611111111111,-75.06555555555556,Quebradas,"(6.058611111111111, -75.06555555555556)",Fuerza pública
ANTIOQUIA,5,ANORÍ,5040,Rural,Vereda Los Campamentos,2008,12,Mayor de 18 años,no,Fuerza pública,Hombre,Herido,7.222222222222222,-75.05833333333334,Cerros,"(7.222222222222222, -75.05833333333334)",Fuerza pública
ANTIOQUIA,5,ANORÍ,5040,Rural,Vereda Los Campamentos,2008,12,Mayor de 18 años,no,Fuerza pública,Hombre,Herido,7.222222222222222,-75.05833333333334,Cerros,"(7.222222222222222, -75.05833333333334)",Fuerza pública
ANTIOQUIA,5,ANORÍ,5040,Rural,Vereda Los Campamentos,2008,12,Mayor de 18 años,no,Fuerza pública,Hombre,Herido,7.222222222222222,-75.05833333333334,Cerros,"(7.222222222222222, -75.05833333333334)",Fuerza pública
